left_id,left_name,right_id,right_name
e001,Fictional Employee 1,m001,Fictional Mentor 1
e002,Fictional Employee 2,m007,Fictional Mentor 7
e003,Fictional Employee 3,m003,Fictional Mentor 3
e004,Fictional Employee 4,m009,Fictional Mentor 9
e005,Fictional Employee 5,m005,Fictional Mentor 5
e006,Fictional Employee 6,m001,Fictional Mentor 1
e007,Fictional Employee 7,m002,Fictional Mentor 2
e008,Fictional Employee 8,m003,Fictional Mentor 3
e009,Fictional Employee 9,m009,Fictional Mentor 9
e010,Fictional Employee 10,m005,Fictional Mentor 5
e011,Fictional Employee 11,m006,Fictional Mentor 6
e012,Fictional Employee 12,m002,Fictional Mentor 2
e013,Fictional Employee 13,m008,Fictional Mentor 8
e014,Fictional Employee 14,m004,Fictional Mentor 4
e015,Fictional Employee 15,m010,Fictional Mentor 10
e016,Fictional Employee 16,m006,Fictional Mentor 6
e017,Fictional Employee 17,m007,Fictional Mentor 7
e018,Fictional Employee 18,m003,Fictional Mentor 3
e019,Fictional Employee 19,m009,Fictional Mentor 9
e020,Fictional Employee 20,m010,Fictional Mentor 10
e021,Fictional Employee 21,m006,Fictional Mentor 6
e022,Fictional Employee 22,m002,Fictional Mentor 2
e023,Fictional Employee 23,m008,Fictional Mentor 8
e024,Fictional Employee 24,m004,Fictional Mentor 4
e025,Fictional Employee 25,m005,Fictional Mentor 5
e026,Fictional Employee 26,m001,Fictional Mentor 1
e027,Fictional Employee 27,m007,Fictional Mentor 7
e028,Fictional Employee 28,m008,Fictional Mentor 8
e029,Fictional Employee 29,m004,Fictional Mentor 4
e030,Fictional Employee 30,m010,Fictional Mentor 10
