left_id,left_name,right_id,right_name
s001,Alex 1,i003,Policy research — Fictional Lab 3
s002,Blair 2,i008,Policy research — Fictional Lab 8
s003,Casey 3,i001,Data analysis — Fictional Lab 1
s004,Devon 4,i010,Climate research — Fictional Lab 10
s005,Emery 5,i005,Climate research — Fictional Lab 5
s007,Gray 7,i007,Software development — Fictional Lab 7
s008,Harper 8,i004,Design — Fictional Lab 4
s009,Indigo 9,i002,Software development — Fictional Lab 2
s010,Jules 10,i006,Data analysis — Fictional Lab 6
s011,Kai 11,i009,Design — Fictional Lab 9
